Title,Author,Price,Genre,Pages,Type,GoodReads rating,URL
The Alchemist,Paulo Coelho,175,Fantasy ,154,Paperback,3.9,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466865542l/18144590._SY475_.jpg
The Book Theif,Markus Zusak,248,Fiction,584,Paperback,4.4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522157426l/19063._SY475_.jpg
Ikigai,Hector Garcia & Francsec Miralles,499,Self help,192,Hardcover ,4.6,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456092979l/28787203.jpg
A New Idea of India,Harsh Madhusudhan & Rajeev Mantri,500,Non Fiction,384,Hardcover,4.4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598332910l/55113347._SY475_.jpg
The 5 am club,Robin Sharma,204,Self help,299,Paperback,3.8,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545910967l/37502596._SY475_.jpg
The hunt for Red October,Tom Clancy,278,Fiction,296,Paperback,4.1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1281995542l/19691.jpg
The Complete Book of Yoga,Swami Vivekananda,139,Non Fiction,432,Paperback,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1446129976l/27388301._SY475_.jpg
Malgudi Days,R.K. Narayan,125,Fiction,304,Paperback,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1455574981l/14082.jpg
Being Different ,Rajiv Malhotra,330,Non Fiction,438,Paperback,4.5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340783111l/13099825.jpg
Defence of Hindu Society,Sita Ram Goel,79,Non Fiction,118,Paperback,4.5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1482061834l/1247546._SY475_.jpg
The Indian Conservative,Jaithirth Rao,408,Non Fiction,280,Hardcover,3.5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1573201276l/48731638._SX318_.jpg
1984,George Orwell,149,Fiction,304,Paperback,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532714506l/40961427._SX318_.jpg
The Godfather,Mario Puzo,275,Fiction,608,Paperback,4.4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394988109l/22034._SY475_.jpg
Decolonizing the Hindu Mind,Koenrad Elst,595,Non Fiction,657,Paperback,4.5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476219767l/159330._SY475_.jpg
Becoming,Michelle Obama,628,Biography,628,Hardcover,4.5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528206996l/38746485.jpg
Sapiens,Yuval Noah Harari,345,Non Fiction,512,Paperback,4.4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1595674533l/23692271._SY475_.jpgg
Unfinished,Priyanka Chopra,452,Biography,240,Hardcover,3.8,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1606168817l/40599385._SY475_.jpg
The Prince,Niccolo Machiavelli,99,Non Fiction,184,Paperback,3.8,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390055828l/28862.jpg
The Girl on the Train,Paula Hawkins,199,Fiction,317,Paperback,3.9,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574805682l/22557272.jpg
And then there were none,Agatha Christie,179,Fiction,256,Paperback,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391120695l/16299.jpg
The Republic,Plato,149,Non Fiction,400,Paperback,3.9,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386925655l/30289.jpg
Immortals of Meluha,Amish,399,Fiction,416,Paperback,4.1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1334659192l/7913305.jpg
Secret of Nagas,Amish,450,Fiction,372,Paperback,4.1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532560274l/40948565._SY475_.jpg
The Politics,Aristotle,141,Non Fiction,304,Paperback,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347850464i/982463._SX50_.jpg
Nationalism,Rabindranath Tagore,70,Non Fiction,120,Paperback,4.1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401104243l/166312.jpg
Atomic Habits,James Clear,445,Self help,226,Paperback,4.4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1535115320l/40121378._SY475_.jpg
Art of War,Sun Tzu,70,Non Fiction,100,Paperback,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453417993l/10534._SY475_.jpg
Keepers of Kalachakra,Ashwin Sanghi,268,Fiction,420,Paperback,3.8,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1512604305i/36982571._SY75_.jpg
The Krishna Key,Ashwin Sanghi,297,Fiction,485,Paperback,3.6,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1341289060l/15733523.jpg
Chanakya's Chant,Ashwin Sanghi,300,Fiction,489,Paperback,3.7,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327939570l/10098912.jpg
Alex Ferguson: My Autobiography,Alex Ferguson,489,Biography,448,Paperback,3.9,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380212081l/18588024.jpg
Bhagavad Gita as it is,Swami Prabhupada,237,Non Fiction,924,Hardcover,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528088332l/991544._SX318_.jpg
The ONE Thing,Gary W. Keller and Jay Papasan.,260,Self help,240,Hardcover,4.1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559563270l/16256798._SX318_.jpg
Chanakya Neeti,Chanakya,123,Non Fiction,208,Paperback,3.9,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576405171l/49246644._SY475_.jpg
One Hundred Poems of Kabir,Rabindranath Tagore,125,Non Fiction,140,Paperback,4.3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387663258l/166351.jpg
The Power of your subconscious mind,Joseph Murphy,135,Self help,312,Paperback,4.1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924010l/68984.jpg
Norse Mythology,Neil Gaiman,304,Fiction,299,Paperback,4.1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1516128292l/37903770._SX318_.jpg
The Kite Runner,Khaled Hosseini,352,Fiction,334,Paperback,4.3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579036753l/77203._SY475_.jpg
Educated,Tara Westover,300,Biography,352,Paperback,4.5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506026635l/35133922._SY475_.jpg
Way of Kings,Brandon Sanderson,700,Fantasy ,1007,Paperback,4.6,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388184640l/7235533.jpg
Rhythm of War,Brandon Sanderson,1000,Fantasy ,1232,Paperback,4.6,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1599911216l/49021976.jpg
The Final Empire,Brandon Sanderson,300,Fantasy ,541,Paperback,4.4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1617768316l/68428._SY475_.jpg
Before They were Hanged,Joe Abercrombie,450,Fantasy ,441,Paperback,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1179318094l/902715._SY475_.jpg
The Blade Itself,Joe Abercrombie,325,Fantasy ,515,Hardcover,4.1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1284167912l/944073._SX318_SY475_.jpg
Last Arguments Of Kings,Joe Abercrombie,480,Fantasy ,536,Hardcover,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1302062699l/944076.jpg
22/11/63,Stephen King,515,Fiction,600,Paperback,4.3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327876792l/10644930.jpg
The Immortal Life of Henrietta Lacks,Rebecca Skloot,450,Biography,464,Paperback,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327878144l/6493208.jpg
The Sword of Kaigen,M.L. Wang,200,Fantasy,651,Paperback,4.4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546137241l/41886271.jpg
A Monster Calls,Patrcik Ness,251,Fiction,237,Paperback,4.3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430763000l/25480342.jpg
Long Walk to Freedom,Nelson Mandela,499,Biography,784,Paperback,4.3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380493068l/17992765.jpg
The Sword of Summer,Rick Riordan,300,Fantasy,500,Paperback,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434701340l/15724396.jpg
The Hammer of Thor,Rick Riordan,295,Fantasy,459,Paperback,4.3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567236708l/27904311.jpg
The Ship of Dead,Rick Riordan,357,Fantasy,460,Paperback,4.3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1493178281l/28006120.jpg
I Know Why the Caged Bird Sings,Maya Angelou,405,Biography,320,Paperback,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327957927l/13214.jpg
The Eye of the World,Robert Jordan,296,Fantasy,334,Hardcover,4.1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1337818095l/228665.jpg
The Great Hunt,Robert Jordan,224,Fantasy,782,Hardcover,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437870280l/233649._SY475_.jpg
Dragon Reborn,Robert Jordan,410,Fantasy,681,Hardcover,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1480096580l/34897._SX318_.jpg
The Shadow Rising,Robert Jordan,413,Fantasy,675,Hardcover,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1470841890l/9539.jpg
The Path of Daggers,Robert Jordan,392,Fantasy,981,Hardcover,3.9,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390508613l/140974.jpg
The Towers of Midnight,Robert Jordan,385,Fantasy,864,Hardcover,4.4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358109459l/8253920.jpg
A Memory of Light,Robert Jordan,405,Fantasy,912,Hardcover,4.5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336055749l/7743175.jpg
Knife in Dreams,Robert Jordan,385,Fantasy,837,Hardcover,4.1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397856387l/13888.jpg
New Spring,Robert Jordan,941,Fantasy,334,Hardcover,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328959234l/187065.jpg
The Fires of Heavens,Robert Jordan,400,Fantasy,987,Hardcover,4.1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327866286l/13895.jpg
Lord of Chaos,Robert Jordan,385,Fantasy,963,Hardcover,4.1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1480096417l/35231._SY475_.jpg
The Gathering of Storm,Robert Jordan,489,Fantasy,766,Hardcover,4.4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442815923l/1166599._SY475_.jpg
7 Habits of Highly Effective People,Stephen Covey,235,Self help,91,Paperback,4.1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421842784l/36072.jpgg
Diary of young girl : Anne Frank,Anne Frank,411,Biography,100,Paperback,4.5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560816565l/48855.jpg
Wings of Fire,APJ Abdul Kalam,735,Biography,187,Paperback,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1588286863l/634583._SY475_.jpg
Murder on the Orient Express,Agatha Christie,171,Fiction,256,Paperback,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486131451l/853510._SY475_.jpg
